date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,pair_kpa,prcp_mm,etr_mm,eto_mm
2013-03-11,2013,3,11,46.1500000000,-105.8083333000,776.2399902344,4.1885256767,-5.9499816895,6.0500183105,124.7000045776,0.4036361619,92.4546677394,0.0000000000,2.4000000954,1.6000000238
2013-03-12,2013,3,12,46.1500000000,-105.8083333000,776.2399902344,3.1413943768,-8.4499816895,5.8500061035,175.5000000000,0.2731938422,92.4546677394,0.0000000000,2.7999999523,1.8999999762
2013-03-13,2013,3,13,46.1500000000,-105.8083333000,776.2399902344,3.4405746460,-3.4499816895,17.4500122070,153.1999969482,0.4451113334,92.4546677394,0.0000000000,5.2000002861,3.4000000954
2013-03-14,2013,3,14,46.1500000000,-105.8083333000,776.2399902344,3.3657796383,1.0500183105,20.6499938965,160.3000030518,0.6434047239,92.4546677394,0.0000000000,5.5999999046,3.7000000477
2013-03-15,2013,3,15,46.1500000000,-105.8083333000,776.2399902344,3.5901648998,-1.0499877930,18.0500183105,168.8000030518,0.5990386759,92.4546677394,0.0000000000,4.9000000954,3.2999999523
2013-03-16,2013,3,16,46.1500000000,-105.8083333000,776.2399902344,2.4682383537,-5.2500000000,6.9500122070,108.3000030518,0.4391871617,92.4546677394,0.0000000000,2.0000000000,1.3999999762
2013-03-17,2013,3,17,46.1500000000,-105.8083333000,776.2399902344,3.8893456459,-8.1499938965,9.8500061035,154.4000091553,0.4776890534,92.4546677394,1.3000000715,2.7000000477,1.8999999762
2013-03-18,2013,3,18,46.1500000000,-105.8083333000,776.2399902344,3.8145503998,-13.4499816895,3.6499938965,160.6999969482,0.3028520592,92.4546677394,0.0000000000,2.0000000000,1.3999999762
2013-03-19,2013,3,19,46.1500000000,-105.8083333000,776.2399902344,2.4682383537,-9.5499877930,1.5500183105,158.1999969482,0.3651108707,92.4546677394,0.0000000000,1.3000000715,1.1000000238
2013-03-20,2013,3,20,46.1500000000,-105.8083333000,776.2399902344,2.8422138691,-9.7500000000,7.4500122070,156.8000030518,0.3310207025,92.4546677394,0.0000000000,2.7000000477,1.8000000715
2013-03-21,2013,3,21,46.1500000000,-105.8083333000,776.2399902344,2.6178286076,-4.3500061035,8.3500061035,139.3000030518,0.4021546341,92.4546677394,5.8000001907,2.7000000477,1.8999999762
2013-03-22,2013,3,22,46.1500000000,-105.8083333000,776.2399902344,2.6178286076,-6.4499816895,4.4500122070,121.5999984741,0.3917835049,92.4546677394,0.5000000000,1.8000000715,1.3000000715
2013-03-23,2013,3,23,46.1500000000,-105.8083333000,776.2399902344,4.2633209229,-9.2500000000,-0.9499816895,116.0000000000,0.2375944815,92.4546677394,0.3000000119,2.0000000000,1.3000000715
2013-03-24,2013,3,24,46.1500000000,-105.8083333000,776.2399902344,2.9918041229,-12.1499938965,-3.1499938965,64.5000000000,0.2019847449,92.4546677394,0.0000000000,1.3999999762,0.9000000358
2013-03-25,2013,3,25,46.1500000000,-105.8083333000,776.2399902344,1.6454923153,-13.3500061035,5.0500183105,219.5000000000,0.2272093861,92.4546677394,0.0000000000,2.2999999523,1.7000000477
2013-03-26,2013,3,26,46.1500000000,-105.8083333000,776.2399902344,1.9446728230,-8.8500061035,8.8500061035,209.6000061035,0.3488080705,92.4546677394,0.0000000000,2.7000000477,2.0000000000
2013-03-27,2013,3,27,46.1500000000,-105.8083333000,776.2399902344,1.3463118076,-5.5499877930,12.7500000000,218.9000091553,0.3947467942,92.4546677394,0.0000000000,3.0000000000,2.2999999523
2013-03-28,2013,3,28,46.1500000000,-105.8083333000,776.2399902344,1.6454923153,-1.7500000000,14.2500000000,135.3000030518,0.4717664971,92.4546677394,0.0000000000,3.1000001431,2.2999999523
2013-03-29,2013,3,29,46.1500000000,-105.8083333000,776.2399902344,2.7674188614,1.7500000000,19.1499938965,200.4000091553,0.5783289740,92.4546677394,0.0000000000,5.3000001907,3.7000000477
2013-03-30,2013,3,30,46.1500000000,-105.8083333000,776.2399902344,3.5901648998,2.1499938965,15.9500122070,181.8000030518,0.5738907283,92.4546677394,0.0000000000,4.9000000954,3.4000000954
