ET Cell ID	ET Cell Name	Ref ET MET ID	Met Latitude	Met Longitude	Met Elevation (feet)	Area weighted average Permeability - in/hr	Area weighted average WHC - in/ft	Average soil depth - in	Hydrologic Group (A-C) (A='coarse'  B='medium')	Hydrologic Group  (1-3) (1='coarse' 2='medium')	Aridity Rating (fromHuntington plus google)	Ref ET Data Path
422	422	154275	  44.7750	-106.9330	3852.49	-999	1.9200	60	B	2	50	
423	423	154271	  44.7750	-107.1000	4243.31	-999	1.9200	60	B	2	50	
424	424	154271	  44.7750	-107.1000	4243.31	-999	1.9200	60	B	2	50	
425	425	154273	  44.7750	-107.0170	4031.76	-999	1.9200	60	B	2	50	
426	426	154275	  44.7750	-106.9330	3852.49	-999	1.9200	60	B	2	50	
427	427	154273	  44.7750	-107.0170	4031.76	-999	1.9200	60	B	2	50	
428	428	154275	  44.7750	-106.9330	3852.49	-999	1.9200	60	B	2	50	
429	429	154273	  44.7750	-107.0170	4031.76	-999	1.9200	60	B	2	50	
43	43	152885	  44.8170	-107.1000	4223.23	-999	1.9200	60	B	2	50	
430	430	154272	  44.7750	-107.0580	4110.11	-999	1.9200	60	B	2	50	
431	431	154273	  44.7750	-107.0170	4031.76	-999	1.9200	60	B	2	50	
432	432	154275	  44.7750	-106.9330	3852.49	-999	1.9200	60	B	2	50	
433	433	154271	  44.7750	-107.1000	4243.31	-999	1.9200	60	B	2	50	
434	434	154272	  44.7750	-107.0580	4110.11	-999	1.9200	60	B	2	50	
435	435	154272	  44.7750	-107.0580	4110.11	-999	1.9200	60	B	2	50	
436	436	154270	  44.7750	-107.1420	4383.86	-999	1.9200	60	B	2	50	
437	437	154272	  44.7750	-107.0580	4110.11	-999	1.9200	60	B	2	50	
438	438	154272	  44.7750	-107.0580	4110.11	-999	1.9200	60	B	2	50	
439	439	154275	  44.7750	-106.9330	3852.49	-999	1.9200	60	B	2	50	
44	44	152882	  44.8170	-107.2250	4371.00	-999	1.9200	60	B	2	50	
440	440	150108	  44.9000	-107.3080	4398.03	-999	2.1600	60	B	2	50	
441	441	150112	  44.9000	-107.1420	3838.98	-999	1.9200	60	B	2	50	
442	442	150108	  44.9000	-107.3080	4398.03	-999	2.1600	60	B	2	50	
443	443	150114	  44.9000	-107.0580	3786.35	-999	1.9200	60	B	2	50	
444	444	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
445	445	150113	  44.9000	-107.1000	3815.75	-999	1.9200	60	B	2	50	
446	446	150109	  44.9000	-107.2670	4124.41	-999	2.1600	60	B	2	50	
447	447	150108	  44.9000	-107.3080	4398.03	-999	2.0522	60	B	2	50	
448	448	150108	  44.9000	-107.3080	4398.03	-999	2.0427	60	B	2	50	
449	449	150113	  44.9000	-107.1000	3815.75	-999	1.9200	60	B	2	50	
45	45	152890	  44.8170	-106.8920	3835.30	-999	1.9200	60	B	2	50	
450	450	150113	  44.9000	-107.1000	3815.75	-999	1.9200	60	B	2	50	
451	451	150107	  44.9000	-107.3500	4793.31	-999	1.4914	60	B	2	50	
452	452	150111	  44.9000	-107.1830	3853.81	-999	1.9200	60	B	2	50	
453	453	150108	  44.9000	-107.3080	4398.03	-999	1.9200	60	B	2	50	
